Almira,Ana,Cassie,Leslie,Matt,Paul,Rocky,Tania,Matthew
9,3,9,0,3,9,5,9,9
9,5,9,8,9,9,0,9,9
9,4,7,9,6,6,0,7,9
9,9,9,0,0,9,0,9,9
7,7,8,0,5,8,3,9,9
9,4,9,3,0,9,9,9,9
9,7,9,5,8,9,5,5,9
9,9,9,0,9,9,0,0,9
9,0,6,9,0,6,0,6,9
9,0,9,8,4,5,2,7,9
9,1,9,7,6,5,0,8,9
9,5,8,0,6,9,1,9,9
9,X,9,X,9,9,9,X,9
9,0,0,0,9,0,0,9,9
5,0,9,4,4,8,0,8,9
9,0,0,0,9,0,0,0,9
9,9,9,8,8,9,8,9,9
9,1,8,7,5,5,0,9,9
9,7,9,0,9,8,0,9,9
9,3,5,8,9,9,0,9,9
9,4,9,9,5,8,4,8,9
9,6,9,3,5,8,4,7,9
8,0,7,9,6,8,5,8,9
9,7,9,9,0,4,0,9,9
9,0,9,0,9,9,0,9,9
6,7,2,8,9,2,0,6,9
9,8,9,7,9,7,5,9,0
9,0,9,9,0,5,0,8,9
9,3,9,0,6,7,2,8,9
9,5,4,9,9,4,5,7,9
9,1,8,9,0,6,3,9,9
9,0,0,0,9,5,0,9,9
9,1,7,0,3,9,6,8,9
9,4,9,3,0,9,9,9,9
9,5,9,9,4,8,0,8,9
9,3,9,8,0,8,3,8,9
9,2,9,9,8,9,0,6,9
9,7,8,5,3,6,4,9,9
9,5,8,9,5,9,3,8,9
9,0,0,9,9,0,0,9,9
